tuple, count, support
{'whole milk', 'other vegetables'}, 736, 0.07483477376715811
{'whole milk', 'rolls/buns'}, 557, 0.05663446873411286
{'whole milk', 'yogurt'}, 551, 0.05602440264361973
{'whole milk', 'root vegetables'}, 481, 0.048906964921199794
{'other vegetables', 'root vegetables'}, 466, 0.047381799694966954
{'yogurt', 'other vegetables'}, 427, 0.04341637010676157
{'rolls/buns', 'other vegetables'}, 419, 0.042602948652770714
{'whole milk', 'tropical fruit'}, 416, 0.04229791560752415
{'whole milk', 'soda'}, 394, 0.040061006609049314
{'rolls/buns', 'soda'}, 377, 0.03833248601931876
{'other vegetables', 'tropical fruit'}, 353, 0.035892221657346214
{'whole milk', 'bottled water'}, 338, 0.03436705643111337
{'yogurt', 'rolls/buns'}, 338, 0.03436705643111337
{'whole milk', 'pastry'}, 327, 0.033248601931875954
{'other vegetables', 'soda'}, 322, 0.032740213523131674
{'whole milk', 'whipped/sour cream'}, 317, 0.032231825114387394
{'sausage', 'rolls/buns'}, 301, 0.030604982206405694
{'whole milk', 'citrus fruit'}, 300, 0.030503304524656837
{'whole milk', 'pip fruit'}, 296, 0.030096593797661414
{'whole milk', 'domestic eggs'}, 295, 0.029994916115912557
{'sausage', 'whole milk'}, 294, 0.0298932384341637
{'yogurt', 'tropical fruit'}, 288, 0.029283172343670564
{'bottled water', 'soda'}, 285, 0.028978139298423997
{'whipped/sour cream', 'other vegetables'}, 284, 0.02887646161667514
{'citrus fruit', 'other vegetables'}, 284, 0.02887646161667514
{'whole milk', 'butter'}, 271, 0.02755465175394001
{'yogurt', 'soda'}, 269, 0.027351296390442297
{'whole milk', 'newspapers'}, 269, 0.027351296390442297
{'sausage', 'other vegetables'}, 265, 0.026944585663446874
{'whole milk', 'fruit/vegetable juice'}, 262, 0.026639552618200304
{'curd', 'whole milk'}, 257, 0.026131164209456024
{'other vegetables', 'pip fruit'}, 257, 0.026131164209456024
{'yogurt', 'root vegetables'}, 254, 0.025826131164209457
{'whole milk', 'brown bread'}, 248, 0.02521606507371632
{'bottled water', 'other vegetables'}, 244, 0.024809354346720894
{'rolls/buns', 'tropical fruit'}, 242, 0.024605998983223184
{'shopping bags', 'soda'}, 242, 0.024605998983223184
{'whole milk', 'shopping bags'}, 241, 0.024504321301474327
{'rolls/buns', 'root vegetables'}, 239, 0.024300965937976614
{'sausage', 'soda'}, 239, 0.024300965937976614
{'bottled water', 'rolls/buns'}, 238, 0.024199288256227757
{'whole milk', 'margarine'}, 238, 0.024199288256227757
{'other vegetables', 'shopping bags'}, 228, 0.023182511438739197
{'bottled water', 'yogurt'}, 226, 0.022979156075241484
{'pastry', 'other vegetables'}, 222, 0.02257244534824606
{'other vegetables', 'domestic eggs'}, 219, 0.02226741230299949
{'whole milk', 'pork'}, 218, 0.022165734621250637
{'citrus fruit', 'yogurt'}, 213, 0.021657346212506354
{'other vegetables', 'pork'}, 213, 0.021657346212506354
{'whole milk', 'beef'}, 209, 0.02125063548551093
{'tropical fruit', 'root vegetables'}, 207, 0.021047280122013217
{'pastry', 'soda'}, 207, 0.021047280122013217
{'fruit/vegetable juice', 'other vegetables'}, 207, 0.021047280122013217
{'pastry', 'rolls/buns'}, 206, 0.02094560244026436
{'tropical fruit', 'soda'}, 205, 0.020843924758515507
{'whipped/sour cream', 'yogurt'}, 204, 0.02074224707676665
{'whole milk', 'frankfurter'}, 202, 0.020538891713268937
{'whole milk', 'frozen vegetables'}, 201, 0.02043721403152008
{'tropical fruit', 'pip fruit'}, 201, 0.02043721403152008
{'whole milk', 'bottled beer'}, 201, 0.02043721403152008
{'other vegetables', 'butter'}, 197, 0.020030503304524657
{'citrus fruit', 'tropical fruit'}, 196, 0.0199288256227758
{'newspapers', 'rolls/buns'}, 194, 0.019725470259278087
{'other vegetables', 'margarine'}, 194, 0.019725470259278087
{'whole milk', 'napkins'}, 194, 0.019725470259278087
{'other vegetables', 'beef'}, 194, 0.019725470259278087
{'sausage', 'yogurt'}, 193, 0.019623792577529234
{'rolls/buns', 'shopping bags'}, 192, 0.019522114895780377
{'newspapers', 'other vegetables'}, 190, 0.019318759532282664
{'rolls/buns', 'frankfurter'}, 189, 0.019217081850533807
{'whole milk', 'coffee'}, 184, 0.018708693441789527
{'brown bread', 'other vegetables'}, 184, 0.018708693441789527
{'fruit/vegetable juice', 'yogurt'}, 184, 0.018708693441789527
{'root vegetables', 'soda'}, 183, 0.01860701576004067
{'bottled water', 'tropical fruit'}, 182, 0.018505338078291814
{'fruit/vegetable juice', 'soda'}, 181, 0.01840366039654296
{'yogurt', 'pip fruit'}, 177, 0.017996949669547534
{'other vegetables', 'chicken'}, 176, 0.017895271987798677
{'other vegetables', 'frozen vegetables'}, 175, 0.017793594306049824
{'pastry', 'yogurt'}, 174, 0.017691916624300967
{'citrus fruit', 'root vegetables'}, 174, 0.017691916624300967
{'whole milk', 'chicken'}, 173, 0.01759023894255211
{'root vegetables', 'beef'}, 171, 0.017386883579054397
{'curd', 'yogurt'}, 170, 0.01728520589730554
{'curd', 'other vegetables'}, 169, 0.017183528215556684
{'whipped/sour cream', 'root vegetables'}, 168, 0.01708185053380783
{'whole milk', 'white bread'}, 168, 0.01708185053380783
{'bottled beer', 'soda'}, 167, 0.016980172852058974
{'citrus fruit', 'rolls/buns'}, 165, 0.01677681748856126
{'chocolate', 'whole milk'}, 164, 0.016675139806812404
{'other vegetables', 'frankfurter'}, 162, 0.016471784443314694
{'whole milk', 'cream cheese '}, 162, 0.016471784443314694
{'bottled beer', 'other vegetables'}, 159, 0.016166751398068124
{'bottled beer', 'bottled water'}, 155, 0.0157600406710727
{'sausage', 'shopping bags'}, 154, 0.015658362989323844
{'bottled water', 'root vegetables'}, 154, 0.015658362989323844
{'rolls/buns', 'domestic eggs'}, 154, 0.015658362989323844
{'root vegetables', 'pip fruit'}, 153, 0.015556685307574987
{'newspapers', 'yogurt'}, 151, 0.015353329944077275
{'yogurt', 'shopping bags'}, 150, 0.015251652262328419
{'whole milk', 'sugar'}, 148, 0.015048296898830707
{'sausage', 'root vegetables'}, 147, 0.01494661921708185
{'rolls/buns', 'margarine'}, 145, 0.014743263853584139
{'whole milk', 'hamburger meat'}, 145, 0.014743263853584139
{'yogurt', 'butter'}, 144, 0.014641586171835282
{'newspapers', 'soda'}, 144, 0.014641586171835282
{'whipped/sour cream', 'rolls/buns'}, 144, 0.014641586171835282
{'yogurt', 'brown bread'}, 143, 0.014539908490086425
{'fruit/vegetable juice', 'rolls/buns'}, 143, 0.014539908490086425
{'napkins', 'other vegetables'}, 142, 0.01443823080833757
{'domestic eggs', 'root vegetables'}, 141, 0.014336553126588714
{'yogurt', 'domestic eggs'}, 141, 0.014336553126588714
{'fruit/vegetable juice', 'bottled water'}, 140, 0.014234875444839857
{'onions', 'other vegetables'}, 140, 0.014234875444839857
{'yogurt', 'margarine'}, 140, 0.014234875444839857
{'rolls/buns', 'pip fruit'}, 137, 0.013929842399593289
{'sausage', 'tropical fruit'}, 137, 0.013929842399593289
{'canned beer', 'soda'}, 136, 0.013828164717844434
{'hamburger meat', 'other vegetables'}, 136, 0.013828164717844434
{'citrus fruit', 'pip fruit'}, 136, 0.013828164717844434
{'whipped/sour cream', 'tropical fruit'}, 136, 0.013828164717844434
{'other vegetables', 'white bread'}, 135, 0.013726487036095577
{'whole milk', 'dessert'}, 135, 0.013726487036095577
{'fruit/vegetable juice', 'tropical fruit'}, 135, 0.013726487036095577
{'cream cheese ', 'other vegetables'}, 135, 0.013726487036095577
{'bottled beer', 'rolls/buns'}, 134, 0.01362480935434672
{'rolls/buns', 'beef'}, 134, 0.01362480935434672
{'pork', 'root vegetables'}, 134, 0.01362480935434672
{'whole milk', 'long life bakery product'}, 133, 0.013523131672597865
{'citrus fruit', 'bottled water'}, 133, 0.013523131672597865
{'chocolate', 'soda'}, 133, 0.013523131672597865
{'tropical fruit', 'shopping bags'}, 133, 0.013523131672597865
{'rolls/buns', 'butter'}, 132, 0.013421453990849009
{'coffee', 'other vegetables'}, 132, 0.013421453990849009
{'pip fruit', 'soda'}, 131, 0.013319776309100152
{'pastry', 'tropical fruit'}, 130, 0.013218098627351297
{'butter', 'root vegetables'}, 127, 0.012913065582104729
{'whole milk', 'hygiene articles'}, 126, 0.012811387900355872
{'root vegetables', 'shopping bags'}, 126, 0.012811387900355872
