tuple, count, support
{'whole milk', 'other vegetables', 'root vegetables'}, 228, 0.023182511438739197
{'whole milk', 'yogurt', 'other vegetables'}, 219, 0.02226741230299949
{'whole milk', 'rolls/buns', 'other vegetables'}, 176, 0.017895271987798677
{'whole milk', 'other vegetables', 'tropical fruit'}, 168, 0.01708185053380783
{'whole milk', 'yogurt', 'rolls/buns'}, 153, 0.015556685307574987
{'whole milk', 'yogurt', 'tropical fruit'}, 149, 0.015149974580579562
{'whole milk', 'whipped/sour cream', 'other vegetables'}, 144, 0.014641586171835282
{'whole milk', 'yogurt', 'root vegetables'}, 143, 0.014539908490086425
{'whole milk', 'other vegetables', 'soda'}, 137, 0.013929842399593289
{'whole milk', 'other vegetables', 'pip fruit'}, 133, 0.013523131672597865
{'whole milk', 'other vegetables', 'citrus fruit'}, 128, 0.013014743263853584
{'yogurt', 'other vegetables', 'root vegetables'}, 127, 0.012913065582104729
{'whole milk', 'rolls/buns', 'root vegetables'}, 125, 0.012709710218607015
{'other vegetables', 'tropical fruit', 'root vegetables'}, 121, 0.012302999491611592
{'whole milk', 'other vegetables', 'domestic eggs'}, 121, 0.012302999491611592
{'yogurt', 'other vegetables', 'tropical fruit'}, 121, 0.012302999491611592
{'rolls/buns', 'root vegetables', 'other vegetables'}, 120, 0.012201321809862735
{'whole milk', 'tropical fruit', 'root vegetables'}, 118, 0.011997966446365024
{'whole milk', 'butter', 'other vegetables'}, 113, 0.011489578037620742
{'yogurt', 'rolls/buns', 'other vegetables'}, 113, 0.011489578037620742
{'whole milk', 'rolls/buns', 'tropical fruit'}, 108, 0.010981189628876462
{'whole milk', 'whipped/sour cream', 'yogurt'}, 107, 0.010879511947127605
{'whole milk', 'bottled water', 'other vegetables'}, 106, 0.010777834265378749
{'whole milk', 'other vegetables', 'pastry'}, 104, 0.010574478901881037
{'whole milk', 'yogurt', 'soda'}, 103, 0.01047280122013218
{'whole milk', 'fruit/vegetable juice', 'other vegetables'}, 103, 0.01047280122013218
{'citrus fruit', 'other vegetables', 'root vegetables'}, 102, 0.010371123538383325
{'whole milk', 'yogurt', 'citrus fruit'}, 101, 0.010269445856634469
{'whole milk', 'other vegetables', 'pork'}, 100, 0.010167768174885612
{'whipped/sour cream', 'yogurt', 'other vegetables'}, 100, 0.010167768174885612
{'sausage', 'whole milk', 'other vegetables'}, 100, 0.010167768174885612
{'curd', 'whole milk', 'yogurt'}, 99, 0.010066090493136757
{'curd', 'whole milk', 'other vegetables'}, 97, 0.009862735129639044
{'other vegetables', 'rolls/buns', 'soda'}, 97, 0.009862735129639044
{'whole milk', 'bottled water', 'yogurt'}, 95, 0.009659379766141332
{'sausage', 'rolls/buns', 'soda'}, 95, 0.009659379766141332
{'whole milk', 'other vegetables', 'frozen vegetables'}, 95, 0.009659379766141332
{'whole milk', 'yogurt', 'pip fruit'}, 94, 0.009557702084392475
{'whole milk', 'fruit/vegetable juice', 'yogurt'}, 93, 0.00945602440264362
{'whole milk', 'whipped/sour cream', 'root vegetables'}, 93, 0.00945602440264362
{'other vegetables', 'tropical fruit', 'pip fruit'}, 93, 0.00945602440264362
{'whole milk', 'yogurt', 'butter'}, 92, 0.009354346720894764
{'sausage', 'whole milk', 'rolls/buns'}, 92, 0.009354346720894764
{'whole milk', 'brown bread', 'other vegetables'}, 92, 0.009354346720894764
{'whole milk', 'other vegetables', 'beef'}, 91, 0.009252669039145907
{'whole milk', 'other vegetables', 'margarine'}, 91, 0.009252669039145907
{'whole milk', 'yogurt', 'pastry'}, 90, 0.009150991357397052
{'whole milk', 'citrus fruit', 'root vegetables'}, 90, 0.009150991357397052
{'whole milk', 'tropical fruit', 'citrus fruit'}, 89, 0.009049313675648195
{'citrus fruit', 'other vegetables', 'tropical fruit'}, 89, 0.009049313675648195
{'whole milk', 'root vegetables', 'pip fruit'}, 88, 0.008947635993899338
{'whole milk', 'rolls/buns', 'soda'}, 87, 0.008845958312150484
{'sausage', 'rolls/buns', 'other vegetables'}, 87, 0.008845958312150484
